Order ID,Team ID,Homebase ID,Location ID,Order Date,Customer Execution Date,Alternate ID,Category,Sku ID,Quantity,Quantity Unit,Amount,Currency,CUS:GSV,CUS:NIV,CUS:TIV,Type,Payment Type,Skills
BG25000007794,15437620,15437620,C0000023667,30/04/2026,04/05/2026,010105-15437620-BG25000007794,Back Office (BO),62732109,61,PC,7357.92166687,BDT,7357.92166687,8349.37816687,8349.3781668700000000,DROP,NONE,
BG25000007795,15437620,15437620,C0000023667,30/04/2026,04/05/2026,010105-15437620-BG25000007795,Back Office (BO),62732109,61,PC,7357.92166687,BDT,7357.92166687,8349.37816687,8349.3781668700000000,DROP,NONE,
BG25000008045,15437620,15437620,C0000023667,06/05/2026,08/05/2026,010105-15437620-BG25000008045,Back Office (BO),62732109,61,PC,7357.92166687,BDT,7357.92166687,8349.37816687,8349.3781668700000000,DROP,NONE,
BG25000008046,15437620,15437620,C0000023667,06/05/2026,08/05/2026,010105-15437620-BG25000008046,Back Office (BO),62732109,61,PC,7357.92166687,BDT,7357.92166687,8349.37816687,8349.3781668700000000,DROP,NONE,
BG25000008047,15437620,15437620,C0000023667,06/05/2026,08/05/2026,010105-15437620-BG25000008047,Back Office (BO),62732109,61,PC,7357.92166687,BDT,7357.92166687,8349.37816687,8349.3781668700000000,DROP,NONE,
BG25000008048,15437620,15437620,C0000023667,06/05/2026,08/05/2026,010105-15437620-BG25000008048,Back Office (BO),62732109,61,PC,7357.92166687,BDT,7357.92166687,8349.37816687,8349.3781668700000000,DROP,NONE,
BG25000008053,15437620,15437620,C0000023667,08/05/2026,10/05/2026,010105-15437620-BG25000008053,Back Office (BO),62732109,61,PC,7357.92166687,BDT,7357.92166687,8349.37816687,8349.3781668700000000,DROP,NONE,
BG25000008052,15437620,15437620,C0000023667,08/05/2026,10/05/2026,010105-15437620-BG25000008052,Back Office (BO),62732109,61,PC,7357.92166687,BDT,7357.92166687,8349.37816687,8349.3781668700000000,DROP,NONE,
BG25000008054,15437620,15437620,C0000023667,08/05/2026,10/05/2026,010105-15437620-BG25000008054,Back Office (BO),62732109,61,PC,7357.92166687,BDT,7357.92166687,8349.37816687,8349.3781668700000000,DROP,NONE,
BG25000008055,15437620,15437620,C0000023667,08/05/2026,10/05/2026,010105-15437620-BG25000008055,Back Office (BO),62732109,61,PC,7357.92166687,BDT,7357.92166687,8349.37816687,8349.3781668700000000,DROP,NONE,
